state,district,year,crop,production_t
Punjab,Patiala,2019 - 2020,Rice,928000.0
Punjab,Patiala,2020 - 2021,Rice,1048000.0
Punjab,Patiala,2021 - 2022,Rice,1008000.0
Punjab,Patiala,2022 - 2023,Rice,966000.0
Punjab,Rupnagar,2010 - 2011,Rice,147000.0
Punjab,Rupnagar,2011 - 2012,Rice,127000.0
Punjab,Rupnagar,2012 - 2013,Rice,145000.0
Punjab,Rupnagar,2013 - 2014,Rice,128000.0
Punjab,Rupnagar,2014 - 2015,Rice,129000.0
Punjab,Rupnagar,2015 - 2016,Rice,161000.0
Punjab,Rupnagar,2016 - 2017,Rice,172000.0
Punjab,Rupnagar,2017 - 2018,Rice,170000.0
Punjab,Rupnagar,2018 - 2019,Rice,142000.0
Punjab,Rupnagar,2019 - 2020,Rice,144000.0
Punjab,Rupnagar,2020 - 2021,Rice,180000.0
Punjab,Rupnagar,2021 - 2022,Rice,169000.0
Punjab,Rupnagar,2022 - 2023,Rice,149000.0
Punjab,S.a.s nagar,2010 - 2011,Rice,127000.0
Punjab,S.a.s nagar,2011 - 2012,Rice,119000.0
Punjab,S.a.s nagar,2012 - 2013,Rice,117000.0
Punjab,S.a.s nagar,2013 - 2014,Rice,95000.0
Punjab,S.a.s nagar,2014 - 2015,Rice,94000.0
Punjab,S.a.s nagar,2015 - 2016,Rice,116000.0
Punjab,S.a.s nagar,2016 - 2017,Rice,112000.0
Punjab,S.a.s nagar,2017 - 2018,Rice,108000.0
Punjab,S.a.s nagar,2018 - 2019,Rice,102000.0
Punjab,S.a.s nagar,2019 - 2020,Rice,105000.0
Punjab,S.a.s nagar,2020 - 2021,Rice,101000.0
Punjab,S.a.s nagar,2021 - 2022,Rice,113000.0
Punjab,S.a.s nagar,2022 - 2023,Rice,127000.0
Punjab,Sangrur,2010 - 2011,Rice,1185000.0
Punjab,Sangrur,2011 - 2012,Rice,1188000.0
Punjab,Sangrur,2012 - 2013,Rice,1299000.0
Punjab,Sangrur,2013 - 2014,Rice,1290000.0
Punjab,Sangrur,2014 - 2015,Rice,1281000.0
Punjab,Sangrur,2015 - 2016,Rice,1334000.0
Punjab,Sangrur,2016 - 2017,Rice,1355000.0
Punjab,Sangrur,2017 - 2018,Rice,1442000.0
Punjab,Sangrur,2018 - 2019,Rice,1353000.0
Punjab,Sangrur,2019 - 2020,Rice,1362000.0
Punjab,Sangrur,2020 - 2021,Rice,1531000.0
Punjab,Sangrur,2021 - 2022,Rice,1195000.0
Punjab,Sangrur,2022 - 2023,Rice,1231000.0
Punjab,Tarn taran,2010 - 2011,Rice,500000.0
Punjab,Tarn taran,2011 - 2012,Rice,490000.0
Punjab,Tarn taran,2012 - 2013,Rice,599000.0
Punjab,Tarn taran,2013 - 2014,Rice,594000.0
Punjab,Tarn taran,2014 - 2015,Rice,540000.0
Punjab,Tarn taran,2015 - 2016,Rice,504000.0
Punjab,Tarn taran,2016 - 2017,Rice,614000.0
Punjab,Tarn taran,2017 - 2018,Rice,759000.0
Punjab,Tarn taran,2018 - 2019,Rice,728000.0
Punjab,Tarn taran,2019 - 2020,Rice,707000.0
Punjab,Tarn taran,2020 - 2021,Rice,761000.0
Punjab,Tarn taran,2021 - 2022,Rice,724000.0
