state,district,year,crop,production_t,RPR,residue_generated_t,burn_fraction,burned_t,recoverable_t
Punjab,Pathankot,2016 - 2017,Rice,77000.0,1.5,115500.0,0.8,92400.0,16169.999999999996
Punjab,Pathankot,2017 - 2018,Rice,86000.0,1.5,129000.0,0.8,103200.0,18059.999999999993
Punjab,Pathankot,2018 - 2019,Rice,91000.0,1.5,136500.0,0.8,109200.0,19109.999999999993
Punjab,Pathankot,2019 - 2020,Rice,86000.0,1.5,129000.0,0.8,103200.0,18059.999999999993
Punjab,Pathankot,2020 - 2021,Rice,105000.0,1.5,157500.0,0.8,126000.0,22049.999999999993
Punjab,Pathankot,2021 - 2022,Rice,97000.0,1.5,145500.0,0.8,116400.0,20369.999999999993
Punjab,Pathankot,2022 - 2023,Rice,82000.0,1.5,123000.0,0.8,98400.0,17219.999999999993
Punjab,Patiala,2010 - 2011,Rice,873000.0,1.5,1309500.0,0.8,1047600.0,183329.99999999994
Punjab,Patiala,2011 - 2012,Rice,903000.0,1.5,1354500.0,0.8,1083600.0,189629.99999999994
Punjab,Patiala,2012 - 2013,Rice,922000.0,1.5,1383000.0,0.8,1106400.0,193619.99999999994
Punjab,Patiala,2013 - 2014,Rice,959000.0,1.5,1438500.0,0.8,1150800.0,201389.99999999994
Punjab,Patiala,2014 - 2015,Rice,904000.0,1.5,1356000.0,0.8,1084800.0,189839.99999999994
Punjab,Patiala,2015 - 2016,Rice,910000.0,1.5,1365000.0,0.8,1092000.0,191099.99999999994
Punjab,Patiala,2016 - 2017,Rice,984000.0,1.5,1476000.0,0.8,1180800.0,206639.99999999994
Punjab,Patiala,2017 - 2018,Rice,1001000.0,1.5,1501500.0,0.8,1201200.0,210209.99999999994
Punjab,Patiala,2018 - 2019,Rice,920000.0,1.5,1380000.0,0.8,1104000.0,193199.99999999994
Punjab,Patiala,2019 - 2020,Rice,928000.0,1.5,1392000.0,0.8,1113600.0,194879.99999999994
Punjab,Patiala,2020 - 2021,Rice,1048000.0,1.5,1572000.0,0.8,1257600.0,220079.99999999994
Punjab,Patiala,2021 - 2022,Rice,1008000.0,1.5,1512000.0,0.8,1209600.0,211679.99999999994
Punjab,Patiala,2022 - 2023,Rice,966000.0,1.5,1449000.0,0.8,1159200.0,202859.99999999994
Punjab,Rupnagar,2010 - 2011,Rice,147000.0,1.5,220500.0,0.8,176400.0,30869.999999999993
Punjab,Rupnagar,2011 - 2012,Rice,127000.0,1.5,190500.0,0.8,152400.0,26669.999999999993
Punjab,Rupnagar,2012 - 2013,Rice,145000.0,1.5,217500.0,0.8,174000.0,30449.999999999993
Punjab,Rupnagar,2013 - 2014,Rice,128000.0,1.5,192000.0,0.8,153600.0,26879.999999999993
Punjab,Rupnagar,2014 - 2015,Rice,129000.0,1.5,193500.0,0.8,154800.0,27089.999999999993
Punjab,Rupnagar,2015 - 2016,Rice,161000.0,1.5,241500.0,0.8,193200.0,33809.99999999999
Punjab,Rupnagar,2016 - 2017,Rice,172000.0,1.5,258000.0,0.8,206400.0,36119.999999999985
Punjab,Rupnagar,2017 - 2018,Rice,170000.0,1.5,255000.0,0.8,204000.0,35699.999999999985
Punjab,Rupnagar,2018 - 2019,Rice,142000.0,1.5,213000.0,0.8,170400.0,29819.999999999993
Punjab,Rupnagar,2019 - 2020,Rice,144000.0,1.5,216000.0,0.8,172800.0,30239.999999999993
Punjab,Rupnagar,2020 - 2021,Rice,180000.0,1.5,270000.0,0.8,216000.0,37799.999999999985
Punjab,Rupnagar,2021 - 2022,Rice,169000.0,1.5,253500.0,0.8,202800.0,35489.999999999985
Punjab,Rupnagar,2022 - 2023,Rice,149000.0,1.5,223500.0,0.8,178800.0,31289.999999999993
Punjab,S.a.s nagar,2010 - 2011,Rice,127000.0,1.5,190500.0,0.8,152400.0,26669.999999999993
Punjab,S.a.s nagar,2011 - 2012,Rice,119000.0,1.5,178500.0,0.8,142800.0,24989.999999999993
Punjab,S.a.s nagar,2012 - 2013,Rice,117000.0,1.5,175500.0,0.8,140400.0,24569.999999999993
Punjab,S.a.s nagar,2013 - 2014,Rice,95000.0,1.5,142500.0,0.8,114000.0,19949.999999999993
Punjab,S.a.s nagar,2014 - 2015,Rice,94000.0,1.5,141000.0,0.8,112800.0,19739.999999999993
